id,discounted_price,actual_price,discount_percentage,rating,rating_count
152,15.0,20.0,26.0,4.3,16299
153,499.0,1.0,62.0,4.3,30411
154,249.0,399.0,38.0,3.4,4642
155,399.0,799.0,50.0,4.3,12
156,1.0,1.0,25.0,4.4,1951
157,9.0,15.0,41.0,3.9,10480
158,637.0,1.0,58.0,4.1,24
159,399.0,899.0,56.0,3.9,254
160,1.0,1.0,32.0,4.0,3565
161,339.0,999.0,66.0,4.3,6255
162,149.0,499.0,70.0,4.0,7732
163,149.0,399.0,63.0,3.9,57
164,599.0,849.0,29.0,4.5,577
165,299.0,1.0,75.0,3.9,1193
166,399.0,1.0,69.0,4.2,13120
167,339.0,1.0,83.0,4.0,343
168,12.0,22.0,46.0,4.3,1611
169,249.0,399.0,38.0,4.0,6558
170,1.0,2.0,44.0,4.4,23169
171,32.0,47.0,31.0,4.3,4703
172,149.0,399.0,63.0,4.0,1423
173,325.0,999.0,67.0,4.3,2651
174,399.0,1.0,80.0,5.0,5
175,199.0,499.0,60.0,3.7,612
176,88.0,299.0,71.0,4.0,9378
177,399.0,1.0,64.0,4.1,2685
178,57.89,199.0,71.0,4.0,9378
179,799.0,1.0,60.0,3.3,576
180,205.0,499.0,59.0,3.8,313
181,299.0,699.0,57.0,4.1,2957
182,849.0,999.0,15.0,4.1,6736
183,949.0,1.0,53.0,4.4,13552
184,499.0,1.0,58.0,4.3,5451
185,299.0,485.0,38.0,4.3,10911
186,949.0,1.0,53.0,4.4,13552
187,379.0,1.0,66.0,4.3,2806
188,8.0,18.0,53.0,3.9,350
189,486.0,1.0,76.0,4.2,30023
190,5.0,11.0,48.0,4.2,4003
191,709.0,1.0,65.0,4.1,178817
192,47.0,70.0,32.0,4.3,7109
193,299.0,1.0,75.0,3.7,490
194,320.0,599.0,47.0,4.1,491
195,139.0,549.0,75.0,3.9,61
196,129.0,249.0,48.0,4.0,9378
197,24.0,35.0,31.0,4.2,32840
198,999.0,1.0,41.0,4.4,7318
199,225.0,499.0,55.0,4.1,789
200,547.0,2.0,82.0,4.3,407
201,259.0,699.0,63.0,3.8,2399
202,239.0,699.0,66.0,4.4,2640
203,349.0,999.0,65.0,4.0,839
204,467.0,599.0,22.0,4.4,44054
205,449.0,599.0,25.0,4.0,3231
206,11.0,31.0,63.0,4.2,64
207,350.0,599.0,42.0,3.9,8314
208,252.0,999.0,75.0,3.7,2249
209,204.0,599.0,66.0,3.6,339
210,6.0,9.0,35.0,4.0,27
211,235.0,599.0,61.0,3.5,197
212,299.0,800.0,63.0,4.5,74977
213,799.0,1.0,60.0,4.2,8583
214,299.0,999.0,70.0,3.8,928
215,6.0,16.0,59.0,3.8,110
216,42.0,59.0,28.0,4.1,6753
217,173.0,999.0,83.0,4.3,1237
218,209.0,600.0,65.0,4.4,18872
219,848.99,1.0,43.0,3.9,356
220,649.0,1.0,68.0,4.2,24269
221,299.0,899.0,67.0,3.8,425
222,399.0,799.0,50.0,4.1,1161
223,249.0,499.0,50.0,4.1,1508
224,1.0,2.0,46.0,4.3,7636
225,213.0,499.0,57.0,3.7,246
226,209.0,499.0,58.0,4.0,479
227,598.0,4.0,88.0,4.2,910
228,799.0,1.0,54.0,4.1,5626
229,159.0,595.0,73.0,4.3,14184
230,499.0,1.0,55.0,4.4,25177
231,31.0,49.0,36.0,4.3,21252
232,32.0,56.0,42.0,4.3,567
233,299.0,1.0,75.0,3.5,466
234,128.31,549.0,77.0,3.9,61
235,599.0,849.0,29.0,4.5,474
236,399.0,899.0,56.0,3.4,431
237,449.0,1.0,59.0,4.0,242
238,254.0,799.0,68.0,4.0,2905
239,399.0,795.0,50.0,4.4,12091
240,179.0,399.0,55.0,4.0,1423
241,339.0,999.0,66.0,4.3,6255
242,399.0,999.0,60.0,4.0,1236
243,199.0,399.0,50.0,4.2,1335
244,349.0,1.0,83.0,3.8,197
245,299.0,798.0,63.0,4.4,28791
246,89.0,800.0,89.0,3.9,1075
247,549.0,995.0,45.0,4.2,29746
248,129.0,1.0,87.0,3.9,295
249,77.0,1.0,44.0,4.7,5935
250,349.0,799.0,56.0,3.6,323
251,499.0,899.0,44.0,3.7,185
252,299.0,799.0,63.0,4.2,2117
253,182.0,599.0,70.0,4.0,9378
254,96.0,399.0,76.0,3.6,1796
255,54.0,85.0,35.0,4.3,3587
256,439.0,758.0,42.0,4.2,4296
257,299.0,999.0,70.0,4.3,2651
258,299.0,799.0,63.0,4.2,94363
259,789.0,1.0,61.0,4.2,34540
260,299.0,700.0,57.0,4.4,8714
261,325.0,1.0,70.0,4.2,10576
262,1.0,1.0,35.0,4.4,7318
263,790.0,1.0,60.0,3.0,103
264,4.0,4.0,0.0,4.5,224
265,18.0,24.0,24.0,4.3,4702
266,199.0,999.0,80.0,4.2,85
267,269.0,650.0,59.0,4.4,35877
268,1.0,3.0,36.0,4.0,897
269,2.0,3.0,43.0,3.8,282
270,35.0,49.0,28.0,4.3,1611
271,349.0,999.0,65.0,4.2,513
272,719.0,1.0,52.0,4.1,1045
273,8.0,18.0,53.0,4.0,6347
274,917.0,2.0,60.0,4.2,3300
275,399.0,999.0,60.0,3.3,23
276,45.0,69.0,34.0,4.3,7109
277,119.0,299.0,60.0,3.8,51
278,21.0,29.0,27.0,4.2,32840
279,299.0,599.0,50.0,3.7,708
280,21.0,34.0,37.0,4.3,1657
281,417.44,670.0,38.0,3.9,523
282,47.0,79.0,40.0,4.3,1376
283,215.0,499.0,57.0,3.5,121
284,99.0,800.0,88.0,3.9,1075
285,18.0,35.0,46.0,4.0,1001
286,249.0,999.0,75.0,4.3,112
287,7.0,15.0,50.0,3.8,3022
288,649.0,1.0,59.0,4.3,5451
289,1.0,2.0,48.0,3.3,73
290,609.0,1.0,59.0,4.5,1029
291,32.0,54.0,40.0,4.1,1555
292,599.0,1.0,70.0,4.2,47
293,349.0,899.0,61.0,4.1,14896
294,29.0,50.0,41.0,4.4,1712
295,199.0,399.0,50.0,4.2,1335
296,349.0,699.0,50.0,3.9,214
297,1.0,4.0,59.0,4.0,184
298,13.0,28.0,52.0,4.5,7
299,129.0,449.0,71.0,3.7,41
